RUCC_2023,2022,% change,2021,% change,2020,% change,2019,% change,2018,,% change 5 years
1.0,"4,331",-2.32,"4,434",5.98,"4,184",0.36,"4,169",-2.23,"4,264",,1.57
2.0,"3,637",-5.06,"3,831",5.83,"3,620",-3.29,"3,743",1.77,"3,678",,-1.11
3.0,"3,728",-7.61,"4,035",9.89,"3,672",2.48,"3,583",-0.58,"3,604",,3.44
4.0,"3,397",-6.44,"3,631",1.34,"3,583",-0.39,"3,597",0.28,"3,587",,-5.30
5.0,"1,317",-1.64,"1,339",-0.96,"1,352",1.50,"1,332",4.72,"1,272",,3.54
6.0,"4,389",-7.33,"4,736",0.28,"4,723",-4.70,"4,956",2.74,"4,824",,-9.02
7.0,"3,156",-2.20,"3,227",0.34,"3,216",-3.04,"3,317",2.92,"3,223",,-2.08
8.0,"2,843",0.11,"2,840",-0.35,"2,850",-0.35,"2,860",-0.73,"2,881",,-1.32
9.0,"2,712",2.19,"2,654",-0.34,"2,663",-1.33,"2,699",0.45,"2,687",,0.93
Total,"29,510",-3.96,"30,727",2.89,"29,863",-1.30,"30,256",0.79,"30,020",,-1.70